month,year,airline_id,unique_carrier,carrier_name,tdomt_gallons,total_gallons,tdomt_cost,total_cost
1,2016,,,,3000,3000,5100,5100
1,2016,21352,0WQ,Avjet Corporation,163052,210112,396216,536455
1,2016,21645,23Q,Songbird Airways Inc.,0,0,0,0
1,2016,21652,27Q,"Jet Aviation Flight Services, Inc.",0,0,0,0
1,2016,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,284362,284362,569497,569497
1,2016,19917,5X,United Parcel Service,32138000,60969000,34098000,65339000
1,2016,20007,5Y,Atlas Air Inc.,4850893,24809190,8575368,44370847
1,2016,19874,8C,Air Transport International,24211,749252,42347,1897501
1,2016,20363,9E,Endeavor Air Inc.,0,0,0,0
1,2016,20190,9S,Southern Air Inc.,821638,6098523,1725440,12806900
1,2016,19805,AA,American Airlines Inc.,174766325,282748633,195806362,317344085
1,2016,20453,ABX,ABX Air Inc,193054,193054,461092,461092
1,2016,19930,AS,Alaska Airlines Inc.,36597369,37667477,45827760,47152571
1,2016,20409,B6,JetBlue Airways,48414077,60623708,56262137,70537499
1,2016,21167,CP,Compass Airlines,0,0,0,0
1,2016,19790,DL,Delta Air Lines Inc.,139317615,260151248,190375249,354719002
1,2016,21650,EE,Eastern Airlines Group Inc.,153520,375040,202646,495052
1,2016,20366,EV,ExpressJet Airlines Inc.,81827,81827,159104,159104
1,2016,20436,F9,Frontier Airlines Inc.,14496478,16155531,14532960,16445664
1,2016,20107,FX,Federal Express Corporation,57475790,88713921,59236000,96498000
1,2016,20368,G4,Allegiant Air,12264170,12264170,15650180,15650180
1,2016,20500,G7,GoJet Airlines LLC d/b/a United Express,0,0,0,0
1,2016,20166,GFQ,Gulf And Caribbean Cargo,58531,131560,87972,211459
1,2016,20402,GL,Miami Air International,471222,685968,857483,1248259
1,2016,19690,HA,Hawaiian Airlines Inc.,13941595,19966717,15802368,23242004
1,2016,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",48403,89102,123588,227505
1,2016,20370,KAQ,Kalitta Air LLC,410148,3460627,611545,5481337
1,2016,21629,KD,Western Global,0,0,0,0
1,2016,21634,KH,Aloha Air Cargo,413456,413456,434504,434504
1,2016,20372,KLQ,Kalitta Charters II,109805,137646,185000,238552
1,2016,20169,L2,Lynden Air Cargo Airlines,186910,252782,367368,390317
1,2016,20151,M6,Amerijet International,272239,1791448,332977,2191130
1,2016,20398,MQ,Envoy Air,0,0,0,0
1,2016,20405,N8,National Air Cargo Group Inc d/ba National Airlines,137248,775909,189081,1497512
1,2016,20108,NC,Northern Air Cargo Inc.,434377,446891,593187,612335
1,2016,20416,NK,Spirit Air Lines,21470845,23516807,26708498,29253557
1,2016,20397,OH,PSA Airlines Inc.,0,0,0,0
1,2016,20304,OO,SkyWest Airlines Inc.,5444514,5444514,8161174,8161174
1,2016,20177,PFQ,Asia Pacific,0,273735,0,512160
1,2016,20100,PO,Polar Air Cargo Airways,2743245,14816197,3475089,18226279
1,2016,20149,PRQ,Florida West Airlines Inc.,0,0,0,0
1,2016,19687,QX,Horizon Air,0,0,0,0
1,2016,20448,S5,Shuttle America Corp.,3793819,3793819,3841009,3841009
1,2016,20422,SY,Sun Country Airlines d/b/a MN Airlines,3278155,5180480,4337385,6822690
1,2016,20447,U7,USA Jet Airlines Inc.,222925,231214,262237,277945
1,2016,19977,UA,United Air Lines Inc.,106816177,240229795,118320230,277726020
1,2016,21171,VX,Virgin America,13986522,14194685,16027319,16279748
1,2016,20308,WE,Centurion Cargo Inc.,0,449711,0,537169
1,2016,20195,WI,Sky Lease Cargo,0,0,0,0
1,2016,20287,WP,Island Air Hawaii,97142,97142,116920,116920
1,2016,20377,X9,Omni Air Express,427170,2761585,717850,7918432
1,2016,20207,XP,XTRA Airways,290899,759821,494418,1291407
1,2016,20378,YV,Mesa Airlines Inc.,0,0,0,0
1,2016,20452,YX,Republic Airlines,12732476,12732476,14986287,14986287
1,2016,20046,ZW,Air Wisconsin Airlines Corp,6016332,6016332,7953100,7953100
1,2016,19393,WN,Southwest Airlines Co.,153259159,154506208,275939739,277711435
2,2016,21161,09Q,"Swift Air, LLC",218800,328697,446977,673205
2,2016,21352,0WQ,Avjet Corporation,128194,181507,330741,466156
2,2016,21492,1BQ,"Dynamic Airways, LLC",0,0,0,0
2,2016,21645,23Q,Songbird Airways Inc.,0,0,0,0
