,iata_code,date,min_temp,max_temp,avg_temp,total_snowcm,windspeed_kmhr,precip_mm,humidity,visibility,cloud_cover,heat_indexC,wind_chillC,wind_gust,feels_like,weather_description
0,ATL,2018-01-01,-17,-10,-14,0.0,12,0.0,45,10,21,-14,-21,16,-21,Partly cloudy
1,ATL,2018-01-02,-13,-5,-9,0.0,9,0.0,36,10,49,-10,-14,13,-14,Overcast
2,ATL,2018-01-03,-8,2,-2,0.0,13,0.0,54,10,6,-4,-8,23,-8,Sunny
3,ATL,2018-01-04,-7,4,-2,0.0,11,0.0,56,10,17,-3,-6,18,-6,Partly cloudy
4,ATL,2018-01-05,-3,5,0,0.0,13,0.0,63,10,12,-1,-5,23,-5,Sunny
5,ATL,2018-01-06,-6,5,-1,0.0,14,0.0,55,10,19,-2,-6,22,-6,Sunny
6,ATL,2018-01-07,3,8,6,0.0,18,5.7,89,9,67,6,2,31,2,Moderate rain
7,ATL,2018-01-08,-0,11,5,0.0,12,0.0,73,10,19,4,1,22,1,Partly cloudy
8,ATL,2018-01-09,3,14,8,0.0,24,0.0,68,10,32,7,3,38,3,Partly cloudy
9,ATL,2018-01-10,6,15,11,0.0,32,0.0,72,10,14,9,5,48,5,Partly cloudy
10,ATL,2018-01-11,-9,-1,-5,0.7,34,3.6,76,8,56,-2,-10,45,-10,Ice pellets
11,ATL,2018-01-12,-13,-6,-9,0.0,19,0.0,66,10,46,-10,-17,25,-17,Overcast
12,ATL,2018-01-13,-12,-4,-8,0.0,10,0.0,62,10,44,-8,-13,15,-13,Partly cloudy
13,ATL,2018-01-14,-5,6,1,0.0,13,0.0,55,10,47,-0,-5,21,-5,Cloudy
14,ATL,2018-01-15,-12,-3,-7,0.0,25,4.7,74,6,67,-5,-13,35,-13,Blizzard
15,ATL,2018-01-16,-16,-9,-13,0.0,16,0.0,64,10,26,-13,-20,21,-20,Partly cloudy
16,ATL,2018-01-17,-13,-0,-7,0.0,14,0.0,55,10,0,-8,-14,23,-14,Sunny
17,ATL,2018-01-18,-6,9,2,0.0,22,0.0,47,10,1,-0,-5,39,-5,Sunny
18,ATL,2018-01-19,-1,13,6,0.0,24,0.0,58,10,6,5,0,44,0,Sunny
19,ATL,2018-01-20,5,15,10,0.0,23,0.0,82,10,19,9,6,40,6,Cloudy
20,ATL,2018-01-21,7,16,11,0.0,20,0.0,70,10,27,10,8,35,8,Overcast
21,ATL,2018-01-22,2,4,4,0.0,36,0.2,66,9,63,3,-2,50,-2,Blowing snow
22,ATL,2018-01-23,-2,8,3,0.0,16,0.0,58,10,2,2,-2,27,-2,Sunny
23,ATL,2018-01-24,-1,12,6,0.0,15,0.0,60,10,1,4,1,27,1,Sunny
24,ATL,2018-01-25,5,17,11,0.0,29,0.0,34,10,0,9,6,50,6,Sunny
25,ATL,2018-01-26,8,16,12,0.0,33,0.0,52,10,18,11,7,51,7,Overcast
26,ATL,2018-01-27,2,13,7,0.0,13,0.0,42,10,3,7,4,21,4,Sunny
27,ATL,2018-01-28,-2,14,8,0.0,16,0.0,40,10,13,6,3,24,3,Partly cloudy
28,ATL,2018-01-29,-5,4,-1,0.0,14,0.0,45,10,10,-2,-6,20,-6,Partly cloudy
29,ATL,2018-01-30,-2,12,6,0.0,28,0.0,47,10,8,4,-1,44,-1,Sunny
30,ATL,2018-01-31,6,13,9,0.0,20,0.0,53,10,11,9,6,34,6,Partly cloudy
31,ATL,2018-02-01,-4,3,2,0.0,21,0.0,46,10,19,2,-3,31,-3,Partly cloudy
32,ATL,2018-02-02,-6,5,-0,0.0,16,0.0,37,10,16,-1,-5,23,-5,Sunny
33,ATL,2018-02-03,1,10,5,0.0,22,0.1,49,10,20,4,0,34,0,Partly cloudy
34,ATL,2018-02-04,-10,-2,-5,0.5,25,0.6,58,9,27,-4,-10,34,-10,Patchy heavy snow
35,ATL,2018-02-05,-11,6,-2,0.0,21,0.0,55,10,7,-5,-11,28,-11,Sunny
36,ATL,2018-02-06,-9,-1,-5,0.0,16,0.0,54,10,31,-6,-12,21,-12,Partly cloudy
37,ATL,2018-02-07,-9,2,-3,0.0,11,0.0,57,10,8,-4,-8,17,-8,Sunny
38,ATL,2018-02-08,-3,13,6,0.0,20,0.0,48,10,5,4,0,34,0,Sunny
39,ATL,2018-02-09,-5,4,1,0.0,25,0.0,59,10,10,1,-4,38,-4,Sunny
40,ATL,2018-02-10,-9,-5,-7,0.2,25,0.2,63,9,93,-7,-15,31,-15,Overcast
41,ATL,2018-02-11,-10,1,-4,0.0,12,0.0,67,10,38,-5,-10,17,-10,Cloudy
42,ATL,2018-02-12,-6,4,-1,0.0,15,0.0,43,10,7,-2,-6,23,-6,Sunny
43,ATL,2018-02-13,-3,11,5,0.0,20,0.0,65,10,26,3,-1,33,-1,Partly cloudy
44,ATL,2018-02-14,3,21,12,0.0,20,0.0,69,10,32,10,8,32,8,Partly cloudy
45,ATL,2018-02-15,11,21,18,0.0,23,0.0,41,10,60,17,16,39,16,Cloudy
46,ATL,2018-02-16,-2,4,2,0.0,23,0.0,48,10,18,2,-2,29,-2,Partly cloudy
47,ATL,2018-02-17,2,14,8,0.0,19,0.0,51,10,20,7,4,27,4,Partly cloudy
48,ATL,2018-02-18,5,16,11,0.0,34,0.0,58,10,34,10,6,51,6,Overcast
49,ATL,2018-02-19,1,13,7,0.0,25,0.3,62,10,46,8,6,35,6,Patchy rain possible
50,ATL,2018-02-20,-4,1,-1,0.0,25,0.7,46,8,46,-1,-7,31,-7,Moderate or heavy freezing rain
51,ATL,2018-02-21,-8,-1,-4,0.3,23,0.4,48,10,40,-5,-11,28,-11,Light snow
52,ATL,2018-02-22,-4,0,-2,1.4,9,5.1,90,5,96,-2,-5,12,-5,Moderate or heavy freezing rain
53,ATL,2018-02-23,-5,5,2,0.0,9,0.2,82,10,49,0,-3,13,-3,Overcast
54,ATL,2018-02-24,0,7,4,0.0,12,0.5,71,9,53,3,0,17,0,Overcast
55,ATL,2018-02-25,-0,11,6,0.0,10,0.0,48,10,7,5,3,15,3,Partly cloudy
56,ATL,2018-02-26,2,16,9,0.0,16,0.0,56,10,0,8,6,26,6,Sunny
57,ATL,2018-02-27,7,18,13,0.0,25,0.0,75,10,22,12,9,40,9,Partly cloudy
58,ATL,2018-02-28,9,20,15,0.0,19,0.0,77,10,50,13,12,26,12,Cloudy
59,ATL,2018-03-01,2,13,7,0.0,19,0.0,41,10,0,6,3,27,3,Sunny
60,ATL,2018-03-02,3,17,10,0.0,22,0.0,43,10,1,9,6,36,6,Sunny
61,ATL,2018-03-03,8,20,14,0.0,33,0.0,71,10,42,13,12,47,12,Overcast
62,ATL,2018-03-04,12,17,16,0.0,35,0.4,81,9,76,15,14,51,14,Light drizzle
63,ATL,2018-03-05,7,13,11,0.0,31,0.2,44,10,11,12,9,43,9,Sunny
64,ATL,2018-03-06,1,10,7,0.0,33,0.0,30,10,16,6,1,46,1,Partly cloudy
65,ATL,2018-03-07,-3,11,5,0.0,15,0.0,47,10,4,3,-0,22,-0,Sunny
66,ATL,2018-03-08,-2,13,7,0.0,13,0.0,43,10,9,5,3,21,3,Partly cloudy
67,ATL,2018-03-09,5,22,14,0.0,9,0.0,50,10,34,12,10,15,10,Overcast
68,ATL,2018-03-10,8,19,15,0.0,11,0.1,45,10,40,13,12,19,12,Partly cloudy
69,ATL,2018-03-11,3,9,6,0.0,25,0.3,55,9,17,6,2,33,2,Sunny
70,ATL,2018-03-12,-2,11,6,0.0,12,0.0,48,10,2,4,1,18,1,Sunny
71,ATL,2018-03-13,0,12,7,0.0,11,0.0,38,10,7,6,3,17,3,Sunny
72,ATL,2018-03-14,1,18,11,0.0,19,0.0,36,10,3,9,7,30,7,Sunny
73,ATL,2018-03-15,9,23,17,0.0,31,0.0,46,10,5,16,14,49,14,Sunny
74,ATL,2018-03-16,8,20,17,0.0,36,0.2,49,10,9,16,15,53,15,Partly cloudy
75,ATL,2018-03-17,3,15,10,0.0,15,0.0,53,10,12,9,6,22,6,Sunny
76,ATL,2018-03-18,3,13,9,0.0,16,2.9,76,10,49,8,5,25,5,Light rain shower
77,ATL,2018-03-19,5,8,6,0.0,33,26.9,84,6,93,7,3,44,3,Torrential rain shower
78,ATL,2018-03-20,2,12,7,0.0,20,0.0,68,10,44,6,2,27,2,Cloudy
79,ATL,2018-03-21,1,16,10,0.0,8,0.0,61,10,6,8,7,13,7,Sunny
80,ATL,2018-03-22,6,22,16,0.0,19,0.0,60,10,13,14,12,32,12,Sunny
81,ATL,2018-03-23,13,22,19,0.0,26,0.0,77,10,39,18,17,40,17,Thundery outbreaks possible
82,ATL,2018-03-24,7,17,14,0.0,23,0.0,66,10,8,14,12,33,12,Sunny
83,ATL,2018-03-25,4,14,10,0.0,20,1.6,71,10,52,9,6,26,6,Patchy rain possible
84,ATL,2018-03-26,7,19,15,0.0,18,11.0,89,9,97,13,12,27,12,Light rain shower
85,ATL,2018-03-27,4,11,8,0.0,18,1.4,70,9,35,7,4,24,4,Patchy light drizzle
86,ATL,2018-03-28,4,15,11,0.0,7,0.0,76,10,37,9,8,10,8,Cloudy
87,ATL,2018-03-29,4,11,8,0.0,15,0.0,74,10,34,7,5,22,5,Cloudy
88,ATL,2018-03-30,1,16,10,0.0,13,0.0,57,10,20,8,7,20,7,Sunny
89,ATL,2018-03-31,9,16,13,0.0,26,0.1,58,10,18,12,10,39,10,Sunny
90,ATL,2018-04-01,-2,2,-0,0.0,22,0.0,50,10,40,-0,-5,28,-5,Overcast
91,ATL,2018-04-02,-4,11,5,0.0,17,0.0,68,10,14,3,-1,24,-1,Sunny
92,ATL,2018-04-03,1,10,7,0.0,35,0.0,61,10,28,7,3,50,3,Overcast
93,ATL,2018-04-04,-4,11,5,0.0,16,0.0,48,10,18,4,1,24,1,Overcast
94,ATL,2018-04-05,6,19,14,0.0,18,0.0,53,10,48,12,10,29,10,Overcast
95,ATL,2018-04-06,-5,7,4,0.0,29,0.2,66,9,64,4,-1,38,-1,Blizzard
96,ATL,2018-04-07,-8,5,-1,0.2,16,0.2,54,9,36,-2,-7,22,-7,Partly cloudy
97,ATL,2018-04-08,-0,11,7,0.1,19,0.7,60,9,32,5,1,28,1,Patchy heavy snow
98,ATL,2018-04-09,3,10,7,0.0,15,0.4,78,9,41,6,3,23,3,Patchy rain possible
99,ATL,2018-04-10,-0,20,12,0.0,18,0.0,63,10,13,9,8,29,8,Partly cloudy
100,ATL,2018-04-11,11,26,20,0.0,31,0.0,50,10,5,18,17,52,17,Sunny
101,ATL,2018-04-12,15,28,23,0.0,33,0.0,62,10,0,22,21,52,22,Sunny
102,ATL,2018-04-13,8,25,22,0.0,33,0.0,50,10,5,22,20,49,20,Sunny
103,ATL,2018-04-14,-1,5,3,0.0,42,0.1,59,8,95,3,-4,53,-4,Blowing snow
104,ATL,2018-04-15,-3,8,3,0.0,28,0.0,62,10,26,1,-5,37,-5,Patchy light snow
105,ATL,2018-04-16,-5,15,7,0.0,12,0.0,66,10,6,5,2,20,2,Sunny
106,ATL,2018-04-17,5,27,18,0.0,21,0.0,59,10,7,17,15,37,15,Sunny
107,ATL,2018-04-18,6,16,13,0.0,36,0.0,49,10,5,12,10,50,10,Sunny
108,ATL,2018-04-19,1,15,10,0.0,14,0.0,60,10,0,8,6,22,6,Sunny
109,ATL,2018-04-20,5,17,13,0.0,20,0.0,63,10,31,11,9,30,9,Partly cloudy
